genre,avg(m.Budget),avg(m.gsgross),ratio
Documentary,120000,16715444.6,139.29537166666665
Film-Noir,802882.3833333333,2869758.3333333335,3.5743197171906234
Fantasy,19108655.16724739,47159016.233449474,2.467940094197783
Family,13140017.366037736,32141000.875471696,2.44603945186136
Animation,20339210.52631579,47829135.026315786,2.3515728383081678
